Date,Mth,Week,Fcst DayOfWeek,ModelDate (reference),BaseDate (Actuals Date),Scaling?,Week,Baseline DayOfWeek,Weekly Forecast,BOM/ROM
9/9/2023,9,36,7,6/17/2023,6/10/2023,1.022651484,23,7,3281565.893,0
9/10/2023,9,37,1,6/18/2023,6/11/2023,1.022651484,24,1,3168074.077,0
9/11/2023,9,37,2,6/19/2023,6/12/2023,1.022651484,24,2,3168074.077,0
9/12/2023,9,37,3,6/20/2023,6/13/2023,1.022651484,24,3,3168074.077,0
9/13/2023,9,37,4,6/21/2023,6/14/2023,1.022651484,24,4,3168074.077,0
9/14/2023,9,37,5,6/22/2023,6/15/2023,1.022651484,24,5,3168074.077,0
9/15/2023,9,37,6,6/23/2023,6/16/2023,1.022651484,24,6,3168074.077,0
9/16/2023,9,37,7,6/24/2023,6/17/2023,1.022651484,24,7,3168074.077,0
9/17/2023,9,38,1,6/25/2023,6/18/2023,1.022651484,25,1,3133650.605,0
9/18/2023,9,38,2,6/26/2023,6/19/2023,1.022651484,25,2,3133650.605,0
9/19/2023,9,38,3,6/27/2023,6/20/2023,1.022651484,25,3,3133650.605,0
9/20/2023,9,38,4,6/28/2023,6/21/2023,1.022651484,25,4,3133650.605,0
9/21/2023,9,38,5,6/29/2023,6/22/2023,1.022651484,25,5,3133650.605,0
9/22/2023,9,38,6,6/30/2023,6/23/2023,1.022651484,25,6,3133650.605,0
9/23/2023,9,38,7,7/1/2023,6/24/2023,1.022651484,25,7,3133650.605,0
